Hour,RegionA|RealTimeInference,RegionA|BatchInference,RegionA|AITraining,RegionB|RealTimeInference,RegionB|BatchInference,RegionB|AITraining,RegionC|RealTimeInference,RegionC|BatchInference,RegionC|AITraining,RegionD|RealTimeInference,RegionD|BatchInference,RegionD|AITraining,RegionE|RealTimeInference,RegionE|BatchInference,RegionE|AITraining,RegionF|RealTimeInference,RegionF|BatchInference,RegionF|AITraining
357,0,14,9,0,34,8,0,0,7,232,23,1,56,17,0,49,0,3
358,0,0,14,70,35,11,0,0,3,213,21,0,66,22,0,76,16,1
359,0,0,4,75,6,18,0,25,0,93,15,0,17,17,0,275,12,0
360,0,65,7,81,0,0,0,0,4,113,0,0,111,0,6,269,10,0
361,30,40,14,0,0,14,100,16,13,129,35,0,0,27,1,124,0,0
362,0,37,7,0,0,9,0,0,4,191,6,0,154,13,0,231,7,0
363,0,26,11,0,14,15,0,0,2,172,21,0,16,0,0,223,0,5
364,126,26,24,0,0,15,66,0,4,253,47,0,64,0,0,0,0,0
365,74,0,21,64,17,0,0,18,17,248,0,0,0,24,0,194,10,0
366,112,15,5,106,0,4,0,37,12,232,8,0,115,0,0,0,22,0
367,0,29,0,0,6,6,0,47,13,174,40,1,186,0,0,0,23,0
368,0,0,24,201,11,6,0,16,14,31,0,4,145,6,0,0,0,0
369,0,68,20,0,38,5,0,0,22,376,30,0,158,12,0,53,50,0
370,107,5,3,0,0,15,0,22,25,297,0,10,0,9,0,189,0,0
371,0,0,14,0,0,4,0,13,3,338,21,0,243,0,4,49,13,0
372,0,5,5,0,0,0,0,20,9,43,12,0,93,15,0,205,22,0
373,66,18,6,0,33,5,0,0,6,185,13,0,0,31,0,52,11,5
374,0,0,12,22,0,18,0,17,5,52,13,0,122,11,7,51,0,0
375,0,6,10,0,19,1,0,0,0,51,0,0,120,0,0,358,0,2
376,0,37,3,0,41,21,0,8,17,126,0,0,0,19,0,0,16,0
377,47,36,7,0,0,7,101,0,10,56,24,10,103,9,0,48,28,0
378,0,8,2,0,14,4,0,55,6,60,29,0,167,0,0,22,14,0
379,0,0,7,0,9,0,0,0,0,323,0,0,168,12,0,53,19,0
380,0,34,8,83,37,1,0,15,9,502,21,0,52,19,0,155,11,0
381,50,30,9,0,56,10,104,0,15,170,40,0,42,0,3,0,13,5
382,0,20,16,0,0,10,113,0,5,649,15,3,27,0,0,237,0,0
383,0,30,9,0,4,5,93,0,5,232,19,0,47,0,7,339,12,0
384,0,10,27,0,30,2,0,0,0,236,40,0,0,17,0,66,0,4
385,0,19,1,0,0,0,0,20,12,124,39,0,26,8,0,190,0,0
386,0,0,0,0,9,0,0,0,7,75,11,0,206,39,0,66,0,0
387,77,5,12,0,10,18,0,0,5,253,25,0,207,0,0,0,8,0
388,0,70,6,0,5,1,0,19,0,441,0,0,77,26,2,47,6,0
389,0,19,2,52,20,4,0,20,16,141,0,0,26,23,0,154,17,0
390,50,23,3,0,13,2,0,0,11,280,0,0,0,18,0,151,16,0
391,0,22,4,0,16,4,0,36,7,330,20,0,62,45,0,193,10,0
392,0,34,8,0,0,12,0,18,0,297,48,7,111,14,0,126,20,0
393,0,31,28,0,23,3,0,8,6,324,6,0,368,27,0,76,0,0
394,0,0,11,0,0,9,0,0,4,223,28,0,0,0,0,477,9,0
395,0,6,13,0,0,9,91,0,16,81,9,0,60,0,0,139,16,0
396,0,28,4,0,6,6,0,0,9,0,0,3,269,0,0,0,54,0
397,0,4,9,0,47,23,0,0,0,49,36,0,81,0,3,96,0,0
398,0,34,7,0,0,6,0,29,15,55,17,0,243,11,0,113,12,0
399,0,20,2,0,7,10,0,4,4,113,26,0,133,10,0,222,5,5
400,0,60,0,0,13,8,0,7,17,463,0,0,117,34,0,186,21,0
401,0,20,1,0,0,4,0,20,26,161,19,0,42,13,0,175,10,0
402,30,20,3,0,41,0,117,0,9,24,55,0,132,0,0,264,20,0
403,0,38,3,0,0,0,0,23,11,426,13,0,42,11,0,94,19,2
404,0,35,11,0,22,5,174,23,0,18,0,0,0,0,2,83,0,0
405,0,25,8,38,24,0,0,0,8,167,49,0,325,19,0,47,0,0
406,0,33,9,0,16,8,0,0,11,264,28,0,224,0,0,118,0,5
407,94,4,0,22,58,15,0,10,14,0,13,0,117,18,0,64,13,0
408,43,24,18,150,38,0,87,0,22,328,0,0,34,8,0,75,0,0
409,0,27,3,0,4,1,75,19,4,168,31,12,159,19,4,153,34,0
410,91,0,12,0,41,1,49,6,14,100,7,0,142,17,6,261,0,0
411,56,16,17,45,60,2,0,20,16,143,17,3,213,23,0,185,12,0
412,0,20,0,0,29,14,0,0,4,82,0,0,160,18,0,0,21,0
413,0,0,12,27,23,13,0,8,3,336,0,0,124,0,0,319,0,0
414,0,15,14,0,0,15,83,27,0,512,0,0,246,0,6,63,9,0
415,0,28,14,0,16,7,0,0,16,0,0,0,161,22,0,68,29,0
416,19,32,3,0,48,12,0,0,0,0,0,0,184,0,3,142,10,0
417,26,20,9,0,10,5,0,22,10,101,29,0,123,0,14,177,13,0
418,0,41,10,0,8,7,0,16,0,69,20,0,153,36,3,76,47,0
419,40,0,28,54,36,13,0,37,11,286,29,0,0,6,0,53,21,0
420,0,19,0,0,9,19,0,22,9,143,15,0,100,32,0,122,21,0
421,0,44,26,0,0,0,47,20,5,172,42,0,190,0,0,60,0,0
422,0,45,14,0,18,12,115,0,11,327,54,0,19,0,0,79,39,0
423,52,20,3,0,22,9,0,18,5,241,20,1,135,0,4,168,7,0
424,0,0,10,0,44,8,126,41,5,32,39,0,237,0,2,262,0,0
425,0,19,9,89,0,23,0,12,15,190,0,0,147,0,5,126,0,4
426,0,14,0,0,58,2,0,0,7,250,13,0,119,22,4,0,0,0
427,0,37,20,112,54,8,0,19,2,234,13,2,0,0,0,0,0,0
428,0,66,16,0,0,7,0,22,4,247,16,0,0,9,0,177,19,0
429,0,7,18,0,41,9,0,19,11,587,23,0,0,9,0,116,0,0
430,0,0,11,0,16,0,0,15,6,136,33,9,423,0,0,88,39,0
431,0,22,10,38,16,1,0,0,5,355,0,0,67,0,0,0,0,0
432,0,0,7,26,10,7,0,0,7,155,37,0,199,0,0,325,10,0
433,0,52,15,0,0,8,230,21,5,0,34,4,0,8,0,198,0,0
434,116,27,14,0,15,13,0,36,1,212,50,0,104,0,0,203,34,0
435,292,5,11,0,21,7,0,24,15,0,50,0,225,64,0,130,0,0
436,0,4,7,46,40,5,0,20,15,0,51,0,118,0,0,109,0,4
437,46,41,6,0,17,5,133,0,1,276,13,0,56,0,6,153,0,0
438,122,16,17,0,39,4,0,18,7,97,12,0,189,8,0,100,24,0
439,0,49,2,0,0,5,0,9,10,223,28,0,155,0,0,0,0,0
440,0,0,2,0,23,9,0,4,0,172,39,0,134,18,0,227,27,3
441,0,26,6,0,29,10,57,0,0,389,39,0,210,7,2,93,20,0
442,0,47,9,0,17,2,0,11,7,167,23,0,119,19,0,290,0,0
443,91,24,16,0,0,7,0,21,6,120,14,0,0,23,0,0,7,0
444,0,33,5,0,6,12,0,20,21,164,35,0,64,4,0,129,36,0
445,0,0,15,0,30,0,0,22,0,561,39,0,127,8,0,230,34,0
446,34,0,9,0,6,2,0,36,5,79,24,0,0,0,0,200,23,0
447,95,28,0,21,0,16,0,13,8,250,47,5,166,37,0,219,36,0
448,26,22,16,0,17,8,0,8,5,0,0,0,115,44,0,109,43,0
449,139,0,8,126,55,10,0,0,4,188,30,0,42,0,0,71,17,0
450,0,26,24,35,0,7,0,20,8,0,0,0,55,4,1,100,44,0
451,0,44,15,106,33,11,0,15,7,98,0,0,93,0,5,75,18,4
452,0,26,6,0,23,0,0,0,9,163,44,0,94,8,7,144,0,0
453,126,0,27,101,0,15,63,38,0,0,29,0,254,7,0,225,22,0
454,0,21,21,0,16,0,0,35,7,124,16,5,189,56,0,67,0,0
455,0,21,11,0,0,14,30,7,12,285,25,6,113,0,3,108,5,0
456,0,20,4,0,25,23,0,9,1,159,0,4,68,13,0,108,17,0
457,103,4,7,0,0,3,0,0,2,70,0,0,30,22,0,70,8,0
458,0,20,2,0,22,11,0,15,9,0,7,0,22,0,0,67,13,6
459,55,11,7,0,30,0,0,17,6,173,0,0,173,0,6,101,0,0
460,0,0,17,0,6,7,0,7,12,214,22,0,122,0,1,213,28,5
461,0,38,18,0,22,12,0,0,7,151,18,0,0,15,0,38,4,7
462,38,0,5,0,7,4,71,0,3,464,24,0,46,46,0,0,4,0
463,0,33,27,0,0,8,0,0,6,0,0,0,0,22,0,96,6,0
464,0,0,10,0,19,0,0,0,0,218,0,0,288,7,0,94,34,0
465,0,0,4,0,7,7,0,0,12,304,9,0,0,0,0,219,49,0
466,0,0,8,0,13,6,0,0,3,291,19,0,18,10,4,94,0,0
467,183,0,8,69,58,0,0,0,8,128,0,0,17,18,0,148,11,0
468,0,14,7,174,0,8,0,30,7,98,19,0,0,49,0,21,0,3
469,0,24,19,0,0,14,0,16,6,448,66,0,73,25,0,77,19,0
470,0,29,0,0,52,10,0,15,6,241,21,4,0,18,0,19,10,0
471,0,0,0,0,29,16,102,21,10,168,26,0,341,0,0,127,6,0
472,0,20,0,0,0,1,0,0,21,51,7,0,214,0,0,206,24,4
473,0,10,6,0,24,13,0,0,13,0,37,0,0,12,0,237,0,3
474,0,39,10,91,68,2,0,20,4,90,23,0,434,0,4,76,15,6
475,96,0,23,0,16,11,0,13,6,119,0,0,76,0,0,102,42,0
476,0,33,11,0,28,11,127,51,13,245,36,0,0,18,0,125,4,0
477,0,0,14,160,51,6,0,0,13,28,44,6,204,0,0,137,0,4
478,0,6,4,0,9,9,0,65,14,0,23,0,88,12,0,0,0,0
479,0,12,15,0,0,3,0,28,11,114,19,0,162,19,0,0,0,7
480,0,23,14,0,54,21,0,17,5,369,0,0,83,10,0,222,14,1
481,0,7,18,46,53,24,0,0,9,230,29,0,234,0,0,199,0,0
482,0,16,3,0,0,19,0,0,6,320,0,5,168,43,5,125,0,0
483,0,0,18,126,33,21,0,21,12,201,0,0,0,0,0,0,0,1
484,152,40,2,0,54,2,285,17,7,23,28,0,32,14,0,354,33,5
485,0,36,27,0,0,0,0,21,1,24,16,0,178,0,5,0,0,0
486,0,0,1,17,52,0,93,43,6,123,14,0,0,0,0,323,0,0
487,0,7,6,22,30,7,108,0,1,109,0,0,16,0,0,227,19,0
488,0,24,6,51,44,17,0,0,19,62,0,0,72,0,0,83,10,0
489,0,24,6,51,0,0,0,29,10,95,14,0,256,14,0,0,16,0
490,0,0,0,0,0,4,0,8,0,271,25,0,257,0,5,157,10,1
491,0,0,9,0,35,8,0,18,5,83,14,0,196,13,0,78,35,0
492,0,0,10,99,19,18,0,35,11,205,31,0,41,34,3,34,0,0
493,0,0,8,117,16,10,66,19,9,0,19,0,176,12,3,158,16,0
494,0,46,7,0,47,14,0,30,13,0,21,0,194,15,0,134,29,0
495,73,34,7,97,0,17,0,8,2,177,38,1,148,20,6,0,0,0
496,0,22,4,0,36,6,120,19,6,124,0,0,0,0,0,50,0,0
497,0,60,3,0,0,13,0,5,7,216,49,5,156,15,2,45,0,0
498,0,0,0,0,0,16,0,0,0,60,14,0,120,8,0,72,0,0
499,130,13,0,0,11,15,104,22,0,0,17,0,0,0,9,181,47,0
500,0,24,5,124,0,7,0,13,2,215,33,0,105,14,0,0,12,0
501,176,0,12,0,11,0,0,18,0,0,8,0,0,17,0,364,5,0
502,0,0,17,0,16,5,0,18,0,171,8,0,0,13,0,0,0,0
503,18,6,28,0,6,14,23,15,5,379,21,0,64,8,0,355,0,0
504,0,13,12,0,53,0,0,17,5,80,29,0,26,0,7,126,22,0
505,33,0,4,92,32,0,0,0,13,335,0,1,183,46,3,149,0,0
506,0,38,0,34,16,6,17,13,2,136,0,0,344,0,0,63,8,0
507,0,7,2,63,0,0,0,4,13,276,15,0,220,9,0,226,0,0
508,105,14,14,58,38,1,0,6,5,38,0,0,227,32,0,69,0,0
509,0,57,0,0,24,8,0,0,4,252,4,0,75,18,7,149,21,0
510,73,0,4,34,28,1,0,56,16,309,0,0,248,10,0,173,0,0
511,0,22,11,0,8,3,0,58,6,112,22,0,120,0,0,62,0,0
512,0,47,9,81,30,2,0,0,6,149,10,0,124,42,1,298,0,0
513,0,24,0,0,20,0,0,0,1,85,54,0,23,0,5,74,0,7
514,88,0,9,0,27,11,0,36,8,0,10,6,48,0,0,61,19,0
515,0,0,10,0,25,6,0,0,6,191,36,0,214,0,4,47,6,0
516,0,27,10,0,36,9,0,33,8,120,0,0,38,8,0,144,16,0
517,88,35,15,0,14,18,0,9,7,202,0,0,93,22,0,122,36,0
518,59,0,6,0,8,9,0,19,2,232,13,0,17,12,0,247,19,0
519,0,48,12,46,23,18,133,0,12,120,18,5,252,0,7,35,12,0
520,0,32,5,0,16,26,0,20,18,127,8,0,116,0,0,177,33,0
521,0,70,4,75,71,0,0,0,2,84,0,0,228,0,0,119,0,0
522,155,54,6,59,17,6,0,11,2,284,33,0,0,0,7,164,15,5
523,0,6,16,0,0,8,0,0,7,79,73,0,44,23,0,86,0,0
524,0,0,4,0,22,9,57,62,4,71,0,0,58,21,0,0,0,0
525,0,0,23,117,9,6,91,12,3,171,4,0,97,33,0,104,0,0
526,75,0,34,54,23,5,81,0,5,60,21,0,251,10,0,62,0,0
527,119,0,30,42,20,5,0,57,10,123,44,5,90,0,2,179,9,0
528,99,0,11,0,34,0,0,0,3,142,18,0,0,0,0,124,0,6
529,0,10,5,0,0,19,0,13,3,516,0,0,167,0,0,0,0,4
530,0,11,2,0,0,13,120,5,0,221,12,0,21,22,0,57,34,4
531,0,17,11,0,58,0,0,0,13,464,16,0,345,23,4,205,5,0
532,0,17,24,26,44,9,0,13,7,147,9,0,141,43,0,51,0,0
533,65,27,9,0,0,12,109,7,13,0,6,0,0,19,0,125,16,0
534,72,22,7,44,24,22,28,24,14,213,8,0,16,0,2,156,22,0
535,110,55,13,0,39,19,145,12,14,26,0,0,275,0,6,0,0,0
536,0,47,0,51,50,0,0,26,0,126,0,3,174,18,0,0,0,0
537,0,0,17,0,5,3,105,0,7,33,24,3,75,0,2,238,22,0
538,0,18,19,0,0,0,0,0,7,145,0,0,138,0,0,85,22,0
539,0,24,9,114,16,6,108,11,10,350,14,0,234,12,6,37,0,0
540,0,4,7,120,17,10,0,19,1,0,55,0,32,5,0,222,0,0
541,0,0,5,0,18,11,89,52,5,60,22,0,105,10,6,179,0,3
542,0,19,4,0,23,12,0,47,0,0,34,0,172,27,0,0,22,0
543,0,0,21,39,11,12,160,8,13,400,20,0,278,12,1,271,31,0
544,0,6,3,0,15,0,0,7,6,0,15,0,329,0,0,210,22,0
545,0,20,15,0,6,4,0,20,7,37,34,7,384,10,0,139,24,0
546,0,30,0,0,0,7,40,17,13,117,26,0,67,78,0,90,10,0
547,0,16,28,0,0,9,0,0,10,220,0,0,356,22,0,0,13,3
548,0,51,18,0,0,13,0,14,8,284,11,0,213,0,0,74,0,0
549,0,0,0,0,49,18,108,0,5,27,0,0,312,0,0,75,20,0
550,0,17,12,0,10,13,0,33,10,227,28,0,171,30,1,0,4,0
551,56,47,10,0,24,25,0,20,3,111,38,0,69,0,0,121,15,0
552,0,8,15,0,0,6,0,0,0,110,9,0,0,0,0,125,0,3
553,80,21,7,41,18,15,0,18,0,316,49,5,20,0,0,245,22,0
554,0,0,15,0,0,5,0,0,0,284,17,0,248,9,2,92,0,0
555,0,42,5,51,0,10,120,39,2,148,14,0,51,39,0,213,10,0
556,0,6,15,75,0,16,0,0,12,123,0,0,324,12,0,396,12,0
557,0,39,1,0,15,10,71,23,0,58,0,0,0,14,0,142,34,6
558,0,39,32,34,20,10,0,13,6,149,15,1,123,4,0,24,0,0
559,121,0,11,0,37,14,0,20,10,48,0,0,0,0,0,109,24,0
560,0,17,13,0,20,15,54,33,12,225,0,0,52,16,8,96,5,0
561,0,20,0,0,15,10,0,42,21,29,21,0,299,18,0,0,23,0
562,112,21,0,0,47,9,0,16,7,233,5,0,86,0,5,125,6,0
563,0,77,12,43,23,4,0,22,10,336,32,0,72,13,0,117,11,0
564,0,7,8,0,20,6,117,16,7,95,67,0,0,30,0,123,0,0
565,59,0,16,0,0,8,0,6,0,361,13,0,113,0,0,304,10,5
566,111,13,25,0,32,8,0,45,10,102,12,0,67,0,5,0,16,0
567,0,27,11,0,0,6,0,0,9,192,33,0,100,13,0,0,47,0
568,100,8,23,0,35,11,0,9,4,213,19,0,122,30,0,123,4,5
569,0,0,9,0,30,9,0,14,7,27,9,6,0,0,0,50,0,5
570,118,0,4,0,27,20,89,6,22,214,23,0,24,0,0,19,14,0
571,0,0,20,0,0,0,123,39,0,178,0,5,249,39,0,104,19,0
572,121,16,17,0,19,6,0,21,7,217,35,0,208,19,0,0,36,7
573,34,0,2,21,0,13,0,0,5,184,39,1,311,29,6,138,21,0
574,69,0,35,0,11,16,0,16,0,117,47,0,0,0,0,64,0,0
575,0,31,23,122,57,5,0,0,5,298,22,0,0,26,0,127,21,2
576,117,7,22,25,22,39,0,7,10,0,6,0,52,0,0,58,42,6
577,0,46,19,0,0,3,0,0,25,196,0,0,120,0,0,209,0,0
578,0,48,11,0,45,7,35,0,7,0,5,0,18,9,0,55,0,0
579,0,0,9,0,22,11,0,19,12,29,6,0,123,0,1,310,35,0
580,0,55,27,0,0,24,96,16,17,68,7,0,105,0,2,0,5,0
581,0,19,8,0,18,13,0,20,3,69,22,0,0,0,0,210,10,4
582,41,69,12,106,17,12,0,20,3,176,12,0,0,0,0,27,0,0
583,0,30,5,0,19,15,0,26,10,125,32,0,144,44,0,0,7,0
584,0,17,14,0,31,14,0,9,11,42,21,0,68,0,0,32,33,0
585,0,5,10,0,17,3,26,0,22,125,0,0,66,0,0,0,0,0
586,0,11,15,0,0,13,0,7,10,105,0,5,140,9,0,239,31,0
587,0,0,8,0,0,7,103,0,10,33,0,0,0,5,0,81,0,0
588,0,54,8,0,5,6,116,22,0,588,9,6,57,0,0,135,34,0
589,0,0,0,0,0,17,32,0,6,380,0,0,0,0,0,71,12,0
590,0,8,16,111,18,7,25,0,16,80,36,0,0,0,0,124,0,0
591,0,16,6,0,37,3,74,5,13,122,39,2,0,17,0,78,0,0
592,0,0,6,0,19,7,0,19,5,122,6,0,242,32,5,106,7,0
593,0,22,10,127,0,9,0,39,0,32,0,0,119,47,0,130,31,0
594,0,16,5,0,19,17,94,44,16,123,0,0,184,0,0,37,23,0
595,90,0,22,0,7,5,38,0,16,200,0,0,216,0,0,43,16,0
596,59,20,9,0,37,5,126,62,10,297,0,0,127,40,0,184,0,0
597,0,32,29,60,23,7,0,0,11,0,23,4,0,4,0,327,0,0
598,0,0,13,105,39,8,69,22,6,287,0,5,0,0,0,0,0,0
599,0,0,2,0,20,6,0,21,7,270,38,0,0,15,0,87,0,1
600,119,54,17,0,18,12,118,8,1,142,14,0,49,9,0,258,14,0
601,47,16,5,0,36,6,0,0,4,290,0,0,196,27,5,108,15,0
602,0,40,11,42,19,13,80,21,0,82,40,0,75,0,0,0,0,0
603,79,0,6,0,48,22,0,70,10,286,0,0,264,16,0,185,8,0
604,0,0,2,71,34,0,0,20,7,323,36,0,98,37,0,120,25,0
605,48,17,19,51,32,17,0,0,0,197,9,0,276,20,0,233,29,0
606,0,19,0,0,24,19,0,10,10,220,23,0,102,12,0,162,0,0
607,83,0,6,0,42,11,84,14,4,0,59,0,74,0,0,55,0,0
608,0,23,14,53,16,22,0,11,15,357,0,0,104,29,3,147,6,0
609,71,23,30,0,0,7,0,17,19,115,0,0,151,14,0,31,9,0
610,0,0,8,102,49,17,0,27,5,260,9,5,0,21,4,422,0,0
611,0,20,20,0,6,2,103,0,6,116,46,7,126,21,0,291,6,0
612,0,19,1,39,23,20,62,43,9,185,4,0,274,0,0,99,0,0
613,0,27,11,108,8,7,0,0,7,128,6,0,191,30,0,159,0,0
614,0,0,17,0,0,22,0,27,13,257,30,0,149,7,0,92,0,5
615,0,0,5,0,28,5,34,0,0,82,31,7,76,14,3,124,12,0
616,0,0,17,0,38,18,0,12,4,181,32,0,0,6,13,153,7,0
617,0,34,3,0,0,7,36,29,15,0,0,7,144,18,0,114,0,0
618,0,0,3,98,0,14,0,18,11,419,14,0,110,21,0,111,22,0
619,28,77,19,0,0,8,0,12,0,96,9,0,116,14,0,25,8,0
620,0,11,8,0,52,3,50,20,3,119,16,0,137,0,0,38,0,0
621,112,40,15,152,32,13,0,39,11,111,23,0,0,17,6,71,0,0
622,0,0,21,0,16,6,116,13,0,288,0,0,167,0,0,248,0,0
623,89,17,13,0,8,14,0,6,2,65,14,0,210,39,0,129,17,0
624,120,23,15,0,11,0,0,11,14,343,13,0,191,0,1,73,0,0
625,0,25,0,105,46,10,0,0,4,119,22,0,246,5,4,89,10,0
626,0,10,2,0,13,25,88,0,4,95,19,0,0,21,0,120,0,0
627,143,30,7,0,8,6,0,0,7,50,33,0,316,0,0,335,0,0
628,30,42,5,0,20,13,30,0,1,0,0,2,158,23,5,183,32,0
629,0,0,4,0,8,7,0,31,1,117,23,1,113,7,0,152,0,0
630,0,14,9,0,10,18,0,30,10,378,19,0,97,0,0,16,8,7
631,0,0,19,125,51,10,110,0,7,133,37,0,28,0,7,253,15,0
632,0,33,16,120,38,0,0,37,7,0,22,0,239,14,0,0,41,0
633,106,8,24,0,35,20,0,41,30,71,19,2,227,0,0,396,13,0
634,38,16,11,0,0,5,64,0,6,576,15,7,205,0,0,61,0,0
635,178,29,12,0,0,7,0,18,7,28,30,0,121,0,0,330,10,0
636,0,0,20,59,33,3,0,0,7,145,31,0,0,0,0,0,4,1
637,0,0,4,0,15,22,73,14,8,361,20,3,135,7,0,52,6,0
638,0,8,7,93,0,0,0,0,28,0,0,0,51,13,0,219,22,0
639,0,22,11,0,23,0,112,0,3,301,29,0,0,34,3,0,34,4
640,0,29,6,0,38,6,127,19,11,175,37,0,53,17,2,200,0,0
641,0,0,25,0,52,11,0,15,7,66,19,0,215,0,0,89,22,0
642,56,52,11,0,36,14,0,0,8,178,36,0,122,18,6,49,36,0
643,0,19,11,0,5,0,73,8,23,54,26,0,52,18,0,54,13,0
644,45,12,4,66,14,7,0,0,0,0,0,0,102,21,7,63,19,0
645,0,33,6,0,0,2,112,6,5,357,34,2,119,19,0,0,14,5
646,0,18,9,0,0,17,0,12,7,0,37,0,174,0,0,153,29,0
647,0,21,5,52,16,0,80,34,5,145,10,0,53,15,0,0,13,0
648,0,48,15,0,18,16,81,23,3,123,0,0,243,23,0,0,0,0
649,0,23,3,0,0,4,0,20,0,62,7,7,132,22,0,277,0,7
650,0,0,0,0,20,5,0,0,16,99,42,0,84,5,0,43,19,0
651,0,25,11,0,14,0,87,0,7,417,0,0,149,0,0,18,14,0
652,188,47,17,0,19,17,0,12,0,160,30,0,0,53,0,266,0,0
653,40,15,20,66,41,8,0,0,5,0,33,0,91,0,0,60,0,0
654,0,8,6,80,45,5,0,33,8,172,28,0,174,12,0,221,0,0
655,79,16,21,0,0,14,0,16,0,245,29,0,370,4,0,67,0,0
656,0,22,4,31,18,8,157,9,10,163,30,1,50,52,0,92,12,5
657,0,14,0,0,0,7,0,18,4,239,0,0,67,5,0,0,0,0
658,91,0,18,0,0,11,0,10,1,291,0,0,0,0,0,0,0,3
659,64,21,13,0,0,15,107,0,5,363,29,0,125,11,5,0,5,0
660,0,23,1,0,23,6,235,15,2,171,4,3,33,7,0,325,0,0
661,0,31,25,0,0,9,0,0,27,165,9,0,122,0,0,140,0,0
662,0,0,7,0,47,9,0,63,16,131,24,0,139,11,0,0,0,0
663,0,27,16,56,34,13,0,22,7,164,0,0,92,16,0,165,0,0
664,0,28,9,0,0,12,0,9,7,209,20,0,0,0,0,161,0,0
665,0,7,5,0,0,5,104,0,0,22,116,3,0,0,0,317,0,0
666,0,43,8,0,32,7,0,9,5,49,15,0,81,0,0,214,5,0
667,0,10,21,50,40,15,0,16,7,296,5,0,26,10,0,0,21,0
668,0,42,12,0,23,4,0,0,0,225,32,0,0,23,0,0,0,0
669,0,18,12,0,41,4,0,19,12,197,35,0,290,0,0,53,14,8
670,0,6,3,0,22,2,0,13,3,0,47,0,187,9,0,0,19,7
671,110,10,1,112,8,0,0,0,7,128,33,0,316,0,0,187,15,0
672,0,0,1,0,44,4,0,7,24,195,25,0,121,0,0,280,27,1
673,0,13,1,165,0,8,0,47,0,63,26,0,120,55,3,0,0,0
674,0,0,5,98,25,19,0,0,7,266,22,0,169,40,0,244,18,6
675,120,24,15,0,50,0,0,40,9,204,31,0,0,7,0,0,0,0
676,60,27,12,0,0,14,22,22,0,102,0,0,44,0,0,205,10,0
677,22,16,2,0,18,9,0,19,0,228,19,6,0,10,0,0,0,0
678,0,19,12,0,76,9,106,22,10,253,9,0,72,0,0,34,0,0
679,0,22,6,92,14,4,0,0,7,0,0,0,281,0,0,367,21,0
680,119,14,8,35,0,4,0,23,1,204,5,0,0,0,5,81,7,0
681,0,28,14,253,0,2,0,0,7,318,5,0,263,19,6,72,0,0
682,0,4,7,27,0,7,0,0,3,259,0,0,0,0,0,271,5,0
683,0,0,14,0,0,31,0,14,0,375,0,0,86,23,0,274,46,2
684,89,61,8,0,5,10,0,0,2,173,27,0,99,53,0,92,0,3
685,0,20,4,0,10,15,85,0,5,221,12,0,102,0,0,53,0,1
686,0,46,4,0,22,3,0,13,0,440,49,0,137,5,4,73,19,0
687,0,11,15,20,54,6,0,0,5,61,0,0,343,0,0,176,0,0
688,0,14,15,0,0,7,0,0,5,264,22,0,127,16,0,92,19,0
689,0,10,10,0,44,1,0,34,4,300,20,0,39,19,0,163,22,0
690,71,25,18,47,0,8,0,0,22,74,29,7,0,5,0,152,0,0
691,0,9,7,0,4,0,0,13,5,228,8,5,185,14,3,77,35,7
692,0,36,0,0,32,14,0,0,1,118,48,0,0,0,0,157,23,0
693,80,37,0,0,11,0,0,13,4,29,40,0,275,0,4,145,0,0
694,0,36,5,0,0,11,0,0,5,159,71,0,134,15,0,312,9,0
695,0,0,4,0,16,0,81,23,4,89,50,0,213,13,2,276,6,0
696,0,0,12,0,0,9,0,24,0,226,15,0,153,13,0,66,10,0
697,0,44,0,0,7,5,0,0,10,118,34,0,114,5,0,242,44,0
698,112,12,12,0,5,12,213,15,18,240,26,0,97,64,2,187,11,1
699,0,24,5,118,7,1,0,27,8,240,5,0,0,0,0,132,5,0
700,0,6,22,16,40,15,0,19,7,0,23,0,0,21,0,80,0,0
701,0,7,5,0,0,8,38,36,0,212,14,0,114,20,2,120,8,0
702,63,0,8,0,12,6,0,0,0,79,11,0,273,4,0,0,0,0
703,107,43,0,0,13,7,53,0,8,0,45,0,174,17,0,109,0,0
704,0,5,7,0,40,0,0,55,10,183,4,0,0,0,0,0,0,0
705,0,27,8,0,23,25,0,0,6,519,9,0,0,0,0,87,0,0
706,99,19,4,0,29,3,0,63,11,345,31,0,59,46,0,24,24,0
707,0,0,6,106,22,3,0,18,0,134,19,0,153,47,0,68,37,0
708,200,20,11,0,30,6,0,29,7,330,34,3,343,9,0,121,16,0
709,0,0,10,0,0,10,0,0,8,159,25,0,227,20,0,0,19,0
710,0,8,14,0,0,12,0,8,7,32,21,0,232,0,0,93,9,0
711,117,0,7,0,16,21,0,12,9,34,27,4,17,0,0,37,16,0
712,0,0,3,0,0,11,107,0,0,184,32,0,148,5,0,130,14,6
713,25,16,17,112,0,12,85,8,0,375,17,0,279,37,7,126,0,0
714,0,29,7,0,0,13,49,0,15,172,0,0,236,0,0,34,27,5
715,0,9,4,0,11,8,73,14,0,42,47,0,188,17,0,17,0,0
716,0,31,14,0,22,9,0,24,2,172,0,0,391,13,0,72,0,0
717,0,4,9,0,0,21,0,41,5,163,4,0,149,10,3,160,28,0
718,155,45,15,0,0,3,0,7,7,72,0,0,128,21,0,0,0,0
